"Dist Code","Year","State Code","State Name","Dist Name","CANALS AREA (1000 ha)","TANKS AREA (1000 ha)","TUBE WELLS AREA (1000 ha)","OTHER WELLS AREA (1000 ha)","TOTAL WELLS AREA (1000 ha)","OTHER SOURCES AREA (1000 ha)","NET AREA (1000 ha)","GROSS AREA (1000 ha)"
"1","2020","14","Chhattisgarh","Durg","63.42","0.69","40.43","0.2","40.63","2.15","106.9","151.37"
"2","2020","14","Chhattisgarh","Bastar","1.61","0.11","5.49","0.13","5.61","2.24","9.57","9.57"
"3","2020","14","Chhattisgarh","Raipur","108.81","2.03","23.68","0.13","23.82","1.28","135.94","153.4"
"4","2020","14","Chhattisgarh","Bilaspur","61.19","1.34","27.71","0.84","28.55","0.01","91.1","111.39"
"5","2020","14","Chhattisgarh","Raigarh","14.58","2.69","29.77","0.48","30.25","4.75","52.26","59.83"
"6","2020","14","Chhattisgarh","Surguja","3.89","0.47","4.94","1.1","6.04","6.32","16.72","17.8"
"7","2020","6","Madhya Pradesh","Jabalpur","18.2","1.58","195.85","12.74","208.59","51.02","279.39","484.0"
"8","2020","6","Madhya Pradesh","Balaghat","123.97","38.64","4.0","2.24","6.24","7.79","176.64","329.66"
"9","2020","6","Madhya Pradesh","Chhindwara","17.88","13.53","87.18","123.72","210.9","147.21","389.52","402.33"
"10","2020","6","Madhya Pradesh","Narsinghpur","0.92","0.07","35.42","2.38","37.8","41.34","80.12","470.05"
"11","2020","6","Madhya Pradesh","Seoni","120.71","19.52","26.75","45.02","71.77","48.54","260.55","326.24"
"12","2020","6","Madhya Pradesh","Mandla","27.8","1.82","8.35","9.99","18.34","20.48","68.44","105.26"
"13","2020","6","Madhya Pradesh","Sagar","17.75","25.69","104.53","135.66","240.19","208.7","492.32","547.61"
"14","2020","6","Madhya Pradesh","Damoh","13.63","20.59","75.21","35.86","111.07","143.8","289.09","308.69"
"15","2020","6","Madhya Pradesh","Tikamgarh","13.28","22.84","39.96","13.64","53.6","15.02","104.73","241.21"
"16","2020","6","Madhya Pradesh","Chhatarpur","44.6","5.53","91.32","160.53","251.86","66.53","368.51","403.22"
"17","2020","6","Madhya Pradesh","Panna","12.23","22.16","45.43","26.88","72.32","85.31","192.02","228.68"
"18","2020","6","Madhya Pradesh","Rewa","44.45","3.06","214.8","6.35","221.15","69.94","338.6","567.79"
"19","2020","6","Madhya Pradesh","Sidhi","19.18","3.54","78.34","5.52","83.86","8.28","114.86","195.49"
"20","2020","6","Madhya Pradesh","Satna","23.65","2.04","262.44","25.12","287.56","62.29","375.54","483.73"
"21","2020","6","Madhya Pradesh","Shahdol","19.27","1.66","27.65","7.27","34.93","10.08","65.95","87.39"
"22","2020","6","Madhya Pradesh","Gwalior","119.51","0.08","49.88","10.77","60.65","19.48","199.73","275.13"
"23","2020","6","Madhya Pradesh","Shivpuri","112.93","28.31","150.47","123.36","273.83","40.14","455.21","476.65"
"24","2020","6","Madhya Pradesh","Guna","15.79","8.78","147.25","97.83","245.08","66.19","335.83","340.87"
"25","2020","6","Madhya Pradesh","Datia","156.48","1.0","40.04","24.51","64.55","0.2","222.24","291.41"
"26","2020","6","Madhya Pradesh","Morena","36.34","0.38","202.96","16.81","219.77","13.64","270.13","283.36"
"27","2020","6","Madhya Pradesh","Bhind","56.22","1.38","197.88","10.83","208.7","8.22","274.52","314.8"
