"Dist Code","Year","State Code","State Name","Dist Name","DISTRICT MALE FIELD LABOUR (Rs per Day)"
"1","2020","14","Chhattisgarh","Durg","198.33"
"2","2020","14","Chhattisgarh","Bastar","250.0"
"3","2020","14","Chhattisgarh","Raipur","350.0"
"4","2020","14","Chhattisgarh","Bilaspur","400.0"
"5","2020","14","Chhattisgarh","Raigarh","285.0"
"6","2020","14","Chhattisgarh","Surguja","-1.0"
"7","2020","6","Madhya Pradesh","Jabalpur","312.5"
"8","2020","6","Madhya Pradesh","Balaghat","150.0"
"9","2020","6","Madhya Pradesh","Chhindwara","254.17"
"10","2020","6","Madhya Pradesh","Narsinghpur","200.0"
"11","2020","6","Madhya Pradesh","Seoni","212.5"
"12","2020","6","Madhya Pradesh","Mandla","150.0"
"13","2020","6","Madhya Pradesh","Sagar","-1.0"
"14","2020","6","Madhya Pradesh","Damoh","200.0"
"15","2020","6","Madhya Pradesh","Tikamgarh","533.33"
"16","2020","6","Madhya Pradesh","Chhatarpur","200.0"
"17","2020","6","Madhya Pradesh","Panna","200.0"
"18","2020","6","Madhya Pradesh","Rewa","357.14"
"19","2020","6","Madhya Pradesh","Sidhi","300.0"
"20","2020","6","Madhya Pradesh","Satna","300.0"
"21","2020","6","Madhya Pradesh","Shahdol","237.5"
"22","2020","6","Madhya Pradesh","Gwalior","300.0"
"23","2020","6","Madhya Pradesh","Shivpuri","400.0"
"24","2020","6","Madhya Pradesh","Guna","425.0"
"25","2020","6","Madhya Pradesh","Datia","300.0"
"26","2020","6","Madhya Pradesh","Morena","-1.0"
"27","2020","6","Madhya Pradesh","Bhind","350.0"
"28","2020","6","Madhya Pradesh","Indore","350.0"
"29","2020","6","Madhya Pradesh","Ratlam","400.0"
"30","2020","6","Madhya Pradesh","Ujjain","300.0"
"31","2020","6","Madhya Pradesh","Mandsaur","-1.0"
"32","2020","6","Madhya Pradesh","Dewas","350.0"
"33","2020","6","Madhya Pradesh","Dhar","250.0"
"34","2020","6","Madhya Pradesh","Jhabua","200.0"
"35","2020","6","Madhya Pradesh","Khargone","300.0"
"36","2020","6","Madhya Pradesh","Khandwa","308.33"
"37","2020","6","Madhya Pradesh","Sehore","313.0"
"38","2020","6","Madhya Pradesh","Raisen","-1.0"
"39","2020","6","Madhya Pradesh","Vidisha","250.0"
