"Dist Code","Year","State Code","State Name","Dist Name","RICE PRODUCTION (1000 tons)","WHEAT PRODUCTION (1000 tons)","KHARIF SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM PRODUCTION (1000 tons)","SORGHUM PRODUCTION (1000 tons)","PEARL MILLET PRODUCTION (1000 tons)","MAIZE PRODUCTION (1000 tons)","FINGER MILLET PRODUCTION (1000 tons)","BARLEY PRODUCTION (1000 tons)","CHICKPEA PRODUCTION (1000 tons)","PIGEONPEA PRODUCTION (1000 tons)","MINOR PULSES PRODUCTION (1000 tons)","GROUNDNUT PRODUCTION (1000 tons)","SESAMUM PRODUCTION (1000 tons)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","SAFFLOWER PRODUCTION (1000 tons)","CASTOR PRODUCTION (1000 tons)","LINSEED PRODUCTION (1000 tons)","SUNFLOWER PRODUCTION (1000 tons)","SOYABEAN PRODUCTION (1000 tons)","OILSEEDS PRODUCTION (1000 tons)","SUGARCANE PRODUCTION (1000 tons)","COTTON PRODUCTION (1000 tons)"
"1","2019","14","Chhattisgarh","Durg","379.94","10.58","0.0","0.0","0.01","0.0","1.53","0.0","0.02","3.19","0.39","0.0","0.0","0.02","0.32","0.0","0.0","0.01","0.0","3.74","0.0","7.95","0.0"
"2","2019","14","Chhattisgarh","Bastar","251.02","0.6","0.0","0.0","0.14","0.0","46.88","0.2","0.0","0.18","0.12","0.0","0.01","0.05","0.39","0.0","0.0","0.01","0.01","0.0","0.0","4.9","0.0"
"3","2019","14","Chhattisgarh","Raipur","511.65","7.76","0.0","0.0","0.0","0.0","1.14","0.0","0.0","0.95","0.04","0.0","0.11","0.05","1.19","0.01","0.0","0.01","0.0","0.12","0.0","1.86","0.0"
"4","2019","14","Chhattisgarh","Bilaspur","397.28","7.06","0.0","0.0","0.01","0.0","1.13","0.0","0.0","0.69","0.09","0.0","0.11","0.02","0.06","0.0","0.0","0.0","0.0","0.03","0.0","1.76","0.0"
"5","2019","14","Chhattisgarh","Raigarh","517.81","10.81","0.0","0.0","0.0","0.0","3.18","0.0","0.0","0.16","1.16","0.0","5.31","1.32","0.49","0.0","0.0","0.07","0.09","0.0","0.11","0.0","0.0"
"6","2019","14","Chhattisgarh","Surguja","176.02","7.58","0.0","0.0","0.05","0.0","28.72","0.0","0.06","0.57","2.42","0.0","3.22","0.1","2.39","0.0","0.0","0.88","0.02","0.0","0.0","62.05","0.0"
"7","2019","6","Madhya Pradesh","Jabalpur","426.95","947.93","0.15","0.0","0.15","0.02","23.96","0.0","0.0","44.99","3.18","0.0","0.1","0.14","3.15","0.0","0.0","0.11","0.0","0.32","0.0","58.88","0.0"
"8","2019","6","Madhya Pradesh","Balaghat","799.72","126.59","0.0","0.0","0.0","0.0","5.66","0.0","0.0","80.94","1.02","0.0","0.07","0.04","3.06","0.0","0.0","2.88","0.0","0.0","0.0","98.5","0.0"
"9","2019","6","Madhya Pradesh","Chhindwara","19.41","1566.63","8.7","0.0","8.7","0.01","1437.57","0.0","0.0","114.8","28.42","0.0","22.37","0.34","1.27","0.0","0.0","0.02","0.0","6.32","0.0","280.46","25.0"
"10","2019","6","Madhya Pradesh","Narsinghpur","130.2","705.51","0.24","0.0","0.24","0.01","60.57","0.0","0.0","126.58","36.8","0.0","0.09","0.2","0.07","0.0","0.0","0.02","0.0","19.6","0.0","4722.64","0.0"
